1,,PHYSIOTHERAPY,Physiotherapy Treatment,SINAR REHABILITATION CENTRE (SEGAMAT),80.0
1,,PHYSIOTHERAPY,Manual Therapy,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Pain Management,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Musculoskeletal Rehabilitation,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Sport Injuries Rehabilitation,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Stroke rehabilitation,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Spinal Cord Injury Rehabilitation,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Traumatic Brain Injury Rehabilitation,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Amputee Rehabilitation,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Cardiorespiratory Rehabilitation,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Hydrotherapy,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Home Therapy + Mileage,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Group Therapy And Exercises,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Burn Management,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Patient And Family Education Including Talk Workshop And Training,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Women And Men Health,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Other Neurological Or Rare Diseases Rehabilitation Such As Parkinson/Multiple Sclerosis/Muscular Dysthropy/Systemic Lupus/Ankylosing Spondylotis/Gullain Barre 1Syndrome,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Alter-G (Anti Graviti) Physio,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Tbion (Tibion Bionic Technology) Rehab,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Chest Physiotherapy Manual,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Chest Physiotherapy Suction Machine,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Hand Function Training,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Fine Motor Training,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PHYSIOTHERAPY,Cognitive Training,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,OCCUPATIONAL THERAPY,Occupational Therapy Treatment,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,OCCUPATIONAL THERAPY,Adl Training (Basic And Instrumental Adl),SINAR REHABILITATION CENTRE (SEGAMAT),
1,,OCCUPATIONAL THERAPY,Therapeutic Activities,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,OCCUPATIONAL THERAPY,Splinting,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,OCCUPATIONAL THERAPY,Pressure Garment,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,OCCUPATIONAL THERAPY,Cognitive And Perceptual Training,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,OCCUPATIONAL THERAPY,Ot Tx/ Therapeutic Exercise,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,OCCUPATIONAL THERAPY,Home Therapy + Mileage,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,OCCUPATIONAL THERAPY,Aids And Adaptations,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,OCCUPATIONAL THERAPY,Work Rehabilitation (Conditioning & Hardening),SINAR REHABILITATION CENTRE (SEGAMAT),
1,,OCCUPATIONAL THERAPY,Work Simulation Training / Work Hardening,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,OCCUPATIONAL THERAPY,Driving Training,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,OCCUPATIONAL THERAPY,Vehicle Modification,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,OCCUPATIONAL THERAPY,Functional Ergonomic Training,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,OCCUPATIONAL THERAPY,Mobility Training (Wheelchair/ Walking Aids/ Prosthetic Etc),SINAR REHABILITATION CENTRE (SEGAMAT),
1,,OCCUPATIONAL THERAPY,Patient And Family Education Including Talk Workshop And Training,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,OCCUPATIONAL THERAPY,Transitional Living Care Facility,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,OCCUPATIONAL THERAPY,Sensory Education,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,SPEECH THERAPY,Speech TherapyTreatment,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,PSYCHOLOGY,PsychologyTreatment,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,CONSULTATION,Rehab Specialist (Initial Session),SINAR REHABILITATION CENTRE (SEGAMAT),
1,,CONSULTATION,Rehab Specialist (Follow Up  Session),SINAR REHABILITATION CENTRE (SEGAMAT),
1,,CONSULTATION,Medical Officer(Initial Session),SINAR REHABILITATION CENTRE (SEGAMAT),
1,,CONSULTATION,Medical Officer (Follow Up Session),SINAR REHABILITATION CENTRE (SEGAMAT),
1,,ASSESSMENT & REPORT,General Pt  Assessment & Report,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,ASSESSMENT & REPORT,General Ot  Assessment & Report,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,ASSESSMENT & REPORT,Neuro/ Spinal Cord Injury Assessment & Report,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,ASSESSMENT & REPORT,Cognitive Assessment (Cognab)/ Perceptual Assessment & Repot,SINAR REHABILITATION CENTRE (SEGAMAT),
1,,ASSESSMENT & REPORT,Home Modification Assessment & Report,SINAR REHABILITATION CENTRE (SEGAMAT),
