"STATE_CODE","ZONE_CODE","SERVICE_TYPE","SERVICE","PANEL_CODE","PRICE_BY_SESSION","ADDBY","UPDBY"
1,,rtw_st_phy,rtw_s1_phy,SINAR REHABILITATION CENTRE (SEGAMAT),80.0

1,,rtw_st_fun,rtw_s64_bas,SINAR REHABILITATION CENTRE (SEGAMAT),95.0

1,,rtw_st_sbm,rtw_s107_bas,SINAR REHABILITATION CENTRE (SEGAMAT),53.0

1,,rtw_st_sbp,rtw_s139_pak,SINAR REHABILITATION CENTRE (SEGAMAT),45.0

4,,rtw_st_phy,rtw_s1_phy,TAGS SPINE & JOINT SPECIALISTS (MELAKA),70.0

17,,rtw_st_phy,rtw_s1_phy,MAWAR MEDICAL CENTRE (SEREMBAN),90.0

17,,rtw_st_sbp,rtw_s139_pak,MAWAR MEDICAL CENTRE (SEREMBAN),90.0

17,,rtw_st_sbp,rtw_s146_pak,MAWAR MEDICAL CENTRE (SEREMBAN),70.0

17,,rtw_st_sbp,rtw_s147_pak,MAWAR MEDICAL CENTRE (SEREMBAN),80.0

17,,rtw_st_sbp,rtw_s148_pak,MAWAR MEDICAL CENTRE (SEREMBAN),70.0

17,,rtw_st_sbp,rtw_s149_pak,MAWAR MEDICAL CENTRE (SEREMBAN),60.0

,2,rtw_st_phy,rtw_s1_phy,SINAR REHABILITATION CENTRE (SEGAMAT),80.0

,2,rtw_st_fun,rtw_s64_bas,SINAR REHABILITATION CENTRE (SEGAMAT),95.0

,2,rtw_st_sbm,rtw_s107_bas,SINAR REHABILITATION CENTRE (SEGAMAT),53.0

,2,rtw_st_sbp,rtw_s139_pak,SINAR REHABILITATION CENTRE (SEGAMAT),45.0

2,,rtw_st_phy,rtw_s1_phy,DOCUMENTATION BASED CARE (DBC ALOR SETAR),143.0

2,,rtw_st_ass,rtw_s49_gen,DOCUMENTATION BASED CARE (DBC ALOR SETAR),195.0

2,,rtw_st_fun,rtw_s64_bas,DOCUMENTATION BASED CARE (DBC ALOR SETAR),220.0

18,,rtw_st_phy,rtw_s22_han,KPJ PENANG SPECIALIST HOSPITAL SDN BHD (SEBERANG PERAI),40.0

18,,rtw_st_phy,rtw_s23_fin,KPJ PENANG SPECIALIST HOSPITAL SDN BHD (SEBERANG PERAI),35.0

18,,rtw_st_phy,rtw_s24_cog,KPJ PENANG SPECIALIST HOSPITAL SDN BHD (SEBERANG PERAI),40.0

