
PHYSIOTHERAPY,Physiotherapy Treatment,3,,,
PHYSIOTHERAPY,Manual Therapy,3,,,
PHYSIOTHERAPY,Pain Management,3,,,
PHYSIOTHERAPY,Musculoskeletal Rehabilitation,3,,,
PHYSIOTHERAPY,Sport Injuries Rehabilitation,3,,,
PHYSIOTHERAPY,Stroke Rehabilitation,3,,,
PHYSIOTHERAPY,Spinal Cord Injury Rehabilitation,3,,,
PHYSIOTHERAPY,Traumatic Brain Injury Rehabilitation,3,,,
PHYSIOTHERAPY,Amputee Rehabilitation,3,,,
PHYSIOTHERAPY,Cardiorespiratory Rehabilitation,3,,,
PHYSIOTHERAPY,Hydrotherapy,3,,,
PHYSIOTHERAPY,Home Therapy + Mileage,3,,,
PHYSIOTHERAPY,Group Therapy And Exercises,3,,,
PHYSIOTHERAPY,Burn Management,3,,,
PHYSIOTHERAPY,Patient And Family Education Including Talk Workshop And Training,3,,,
PHYSIOTHERAPY,Women And Men Health,3,,,
PHYSIOTHERAPY,Other Neurological Or Rare Diseases Rehabilitation Such As Parkinson/Multiple Sclerosis/Muscular Dysthropy/Systemic Lupus/Ankylosing Spondylotis/Gullain Barre 1Syndrome,3,,,
PHYSIOTHERAPY,Alter-G (Anti Graviti) Physio,3,,,
PHYSIOTHERAPY,Tbion (Tibion Bionic Technology) Rehab,3,,,
PHYSIOTHERAPY,Chest Physiotherapy Manual,3,,,
PHYSIOTHERAPY,Chest Physiotherapy Suction Machine,3,,,
PHYSIOTHERAPY,Hand Function Training,3,,,
PHYSIOTHERAPY,Fine Motor Training,3,,,
PHYSIOTHERAPY,Cognitive Training,3,,,
OCCUPATIONAL THERAPY,Occupational Therapy Treatment,3,,,
OCCUPATIONAL THERAPY,Adl Training (Basic And Instrumental Adl),3,,,
OCCUPATIONAL THERAPY,Therapeutic Activities,3,,,
OCCUPATIONAL THERAPY,Splinting,3,,,
OCCUPATIONAL THERAPY,Pressure Garment,3,,,
OCCUPATIONAL THERAPY,Cognitive And Perceptual Training,3,,,
OCCUPATIONAL THERAPY,Ot Tx/ Therapeutic Exercise,3,,,
OCCUPATIONAL THERAPY,Home Therapy + Mileage,3,,,
OCCUPATIONAL THERAPY,Aids And Adaptations,3,,,
OCCUPATIONAL THERAPY,Work Rehabilitation (Conditioning & Hardening),3,,,
OCCUPATIONAL THERAPY,Work Simulation Training / Work Hardening,3,,,
OCCUPATIONAL THERAPY,Driving Training,3,,,
OCCUPATIONAL THERAPY,Vehicle Modification,3,,,
OCCUPATIONAL THERAPY,Functional Ergonomic Training,3,,,
OCCUPATIONAL THERAPY,Mobility Training (Wheelchair/ Walking Aids/ Prosthetic Etc),3,,,
OCCUPATIONAL THERAPY,Patient And Family Education Including Talk Workshop And Training,3,,,
OCCUPATIONAL THERAPY,Transitional Living Care Facility),3,,,
OCCUPATIONAL THERAPY,Sensory Education,3,,,
SPEECH THERAPY,Treatment,3,,,
PSYCHOLOGY,Treatment,3,,,
CONSULTATION,Rehab Specialist - Initial Session,3,,,
CONSULTATION,Rehab Specialist - Follow Up Session,3,,,
CONSULTATION,Medical Officer - Initial Session,3,,,
CONSULTATION,Medical Officer - Follow Up Session,3,,,
ASSESSMENT & REPORT,General Pt Assessment & Report,3,,,
ASSESSMENT & REPORT,General Ot Assessment & Report,3,,,
ASSESSMENT & REPORT,Neuro/ Spinal Cord Injury Assessment & Report,3,,,
ASSESSMENT & REPORT,Cognitive Assessment (Cognab)/ Perceptual Assessment & Report,3,,,
ASSESSMENT & REPORT,Home Modification Assessment & Report,3,,,
ASSESSMENT & REPORT,Worksite Assessment & Report,3,,,
ASSESSMENT & REPORT,Driving Assessment & Report,3,,,
ASSESSMENT & REPORT,Wheelchair Assessment & Report,3,,,
ASSESSMENT & REPORT,Prosthetic/ Amputation Assessment & Report,3,,,
ASSESSMENT & REPORT,Speech Therapy Assessment & Report,3,,,
ASSESSMENT & REPORT,Psychological Assessment & Report,3,,,
ASSESSMENT & REPORT,Sensory Perception Test,3,,,
ASSESSMENT & REPORT,Clinical Observation Neuromotor Performance,3,,,
ASSESSMENT & REPORT,Visual Perception Test,3,,,
FUNCTIONAL CAPACITY EVALUATION & REPORT,General Fce & Report,1,,,
FUNCTIONAL CAPACITY EVALUATION & REPORT,Basic Fce,1,,,
FUNCTIONAL CAPACITY EVALUATION & REPORT,Complete Fce (Bte Primus),1,,,
FUNCTIONAL CAPACITY EVALUATION & REPORT,By Part Fce (Bte Primus),1,,,
FUNCTIONAL CAPACITY EVALUATION & REPORT,Upper Extremity & Hand Fce & Report,1,,,
FUNCTIONAL CAPACITY EVALUATION & REPORT,Trunk & Lower Extremity Fce & Report,1,,,
FUNCTIONAL CAPACITY EVALUATION & REPORT,"Upper, Trunk, Lower Extremity Fce & Report",1,,,
FUNCTIONAL CAPACITY EVALUATION & REPORT,Neurological Fce & Report,1,,,
FUNCTIONAL CAPACITY EVALUATION & REPORT,Cardiopulmonary Fce & Report,1,,,
FUNCTIONAL CAPACITY EVALUATION & REPORT,Cognitive/ Perceptuan Function Fce & Report,1,,,
ADMINISTRATION SERVICES,First Registration Fees,3,,,
ADMINISTRATION SERVICES,First Registration Fees,1,,,,,,
ADMINISTRATION SERVICES,Follow Up Session Fees,3,,,
ADMINISTRATION SERVICES,Follow Up Session Fees,1,,,,,,
HOSTEL,Inpatient - Hostel & Makan,3,,,
DRY NEEDLING / ACUPUNCTURE,Dry Needling Package,,,
SERVICES BY MODALITIES,Therapeutic Ultrasound,3,,,
SERVICES BY MODALITIES,Hydrocollator Pack,3,,,
SERVICES BY MODALITIES,Tens,3,,,
SERVICES BY MODALITIES,Cryocuff,3,,,
SERVICES BY MODALITIES,Ice Pack,3,,,
SERVICES BY MODALITIES,Paraffin Wax,3,,,
SERVICES BY MODALITIES,Dumb Bell,3,,,
SERVICES BY MODALITIES,Sandbag,3,,,
SERVICES BY MODALITIES,Gym Ball,3,,,
SERVICES BY MODALITIES,Pulley,3,,,
SERVICES BY MODALITIES,Wall Bar,3,,,
SERVICES BY MODALITIES,Parallel Bar,3,,,
SERVICES BY MODALITIES,Tilt Table,3,,,
SERVICES BY MODALITIES,Plinth And Bobath Plinth,3,,,
SERVICES BY MODALITIES,Exercise Mat,3,,,
SERVICES BY MODALITIES,Static Cycle,3,,,
SERVICES BY MODALITIES,Mechanical Traction,3,,,
SERVICES BY MODALITIES,Stairs,3,,,
SERVICES BY MODALITIES,Adl Kits,3,,,
SERVICES BY MODALITIES,Fine Motor Kits,3,,,
SERVICES BY MODALITIES,Splint,3,,,
SERVICES BY MODALITIES,Pressure Garment,3,,,
SERVICES BY MODALITIES,Thera Putty,3,,,
SERVICES BY MODALITIES,Thera Band,3,,,
SERVICES BY MODALITIES,Hand Exerciser Equipment,3,,,
SERVICES BY MODALITIES,Swd,3,,,
SERVICES BY MODALITIES,Continuous Passive Machine,3,,,
SERVICES BY MODALITIES,Interferential Ift,3,,,
SERVICES BY MODALITIES,Ambulation,3,,,
SERVICES BY MODALITIES,Hot Pack,3,,,
SERVICES BY MODALITIES,Traction,3,,,
SERVICES BY MODALITIES,Treadmill,3,,,
